-132200	-1.5467	-1.5467	-1.5467	-1.5467	-1.5467
-132100	-1.5062	-1.5062	-1.5062	-1.5062	-1.5062
-132000	-1.4659	-1.4659	-1.4659	-1.4659	-1.4659
-131900	-1.4258	-1.4258	-1.4258	-1.4258	-1.4258
-131800	-1.3974	-1.3974	-1.3974	-1.3974	-1.3974
-131700	-1.3986	-1.3986	-1.3986	-1.3986	-1.3986
-131600	-1.3996	-1.3996	-1.3996	-1.3996	-1.3996
-131500	-1.4008	-1.4008	-1.4008	-1.4008	-1.4008
-131400	-1.4018	-1.4018	-1.4018	-1.4018	-1.4018
-131300	-1.4031	-1.4031	-1.4031	-1.4031	-1.4031
-131200	-1.4044	-1.4044	-1.4044	-1.4044	-1.4044
-131100	-1.4056	-1.4056	-1.4056	-1.4056	-1.4056
-131000	-1.4070	-1.4070	-1.4070	-1.4070	-1.4070
-130900	-1.3885	-1.3885	-1.3885	-1.3885	-1.3885
-130800	-1.3488	-1.3488	-1.3488	-1.3488	-1.3488
-130700	-1.3205	-1.3205	-1.3205	-1.3205	-1.3205
-130600	-1.2977	-1.2977	-1.2977	-1.2977	-1.2977
-130500	-1.2751	-1.2751	-1.2751	-1.2751	-1.2751
-130400	-1.2523	-1.2523	-1.2523	-1.2523	-1.2523
-130300	-1.2297	-1.2297	-1.2297	-1.2297	-1.2297
-130200	-1.2073	-1.2073	-1.2073	-1.2073	-1.2073
-130100	-1.1848	-1.1848	-1.1848	-1.1848	-1.1848
-130000	-1.1577	-1.1577	-1.1577	-1.1577	-1.1577
-129900	-1.1183	-1.1183	-1.1183	-1.1183	-1.1183
-129800	-1.0826	-1.0826	-1.0826	-1.0826	-1.0826
-129700	-1.0470	-1.0470	-1.0470	-1.0470	-1.0470
-129600	-1.0118	-1.0118	-1.0118	-1.0118	-1.0118
-129500	-0.9767	-0.9767	-0.9767	-0.9767	-0.9767
-129400	-0.9416	-0.9416	-0.9416	-0.9416	-0.9416
-129300	-0.8988	-0.8988	-0.8988	-0.8988	-0.8988
-129200	-0.8557	-0.8557	-0.8557	-0.8557	-0.8557
-129100	-0.8129	-0.8129	-0.8129	-0.8129	-0.8129
-129000	-0.7706	-0.7706	-0.7706	-0.7706	-0.7706
-128900	-0.7284	-0.7284	-0.7284	-0.7284	-0.7284
-128800	-0.7080	-0.7080	-0.7080	-0.7080	-0.7080
-128700	-0.6970	-0.6970	-0.6970	-0.6970	-0.6970
-128600	-0.6859	-0.6859	-0.6859	-0.6859	-0.6859
-128500	-0.6728	-0.6728	-0.6728	-0.6728	-0.6728
-128400	-0.6548	-0.6548	-0.6548	-0.6548	-0.6548
-128300	-0.6209	-0.6209	-0.6209	-0.6209	-0.6209
-128200	-0.5873	-0.5873	-0.5873	-0.5873	-0.5873
-128100	-0.5538	-0.5538	-0.5538	-0.5538	-0.5538
-128000	-0.5236	-0.5236	-0.5236	-0.5236	-0.5236
-127900	-0.4938	-0.4938	-0.4938	-0.4938	-0.4938
-127800	-0.4642	-0.4642	-0.4642	-0.4642	-0.4642
-127700	-0.4345	-0.4345	-0.4345	-0.4345	-0.4345
-127600	-0.4023	-0.4023	-0.4023	-0.4023	-0.4023
-127500	-0.3705	-0.3705	-0.3705	-0.3705	-0.3705
-127400	-0.3409	-0.3409	-0.3409	-0.3409	-0.3409
-127300	-0.3130	-0.3130	-0.3130	-0.3130	-0.3130
-127200	-0.2865	-0.2865	-0.2865	-0.2865	-0.2865
-127100	-0.2700	-0.2700	-0.2700	-0.2700	-0.2700
-127000	-0.2549	-0.2549	-0.2549	-0.2549	-0.2549
-126900	-0.2272	-0.2272	-0.2272	-0.2272	-0.2272
-126800	-0.1695	-0.1695	-0.1695	-0.1695	-0.1695
-126700	-0.1126	-0.1126	-0.1126	-0.1126	-0.1126
-126600	-0.0567	-0.0567	-0.0567	-0.0567	-0.0567
